workspace,bucket,field_path,source_value
bba,crm_leadSourceExpr_aggregate,,other
bba,crm_leadSourceExpr_aggregate,,justdial
bba,crm_leadSourceExpr_aggregate,,wa
bba,crm_leadSourceExpr_aggregate,,blog
bba,crm_leadSourceExpr_aggregate,,chatgpt.com?utm_source=web
bba,crm_leadSourceExpr_aggregate,,kollegeapply
bba,crm_leadSourceExpr_aggregate,,web
bba,crm_leadSourceExpr_aggregate,,collegedunia
bba,crm_leadSourceExpr_aggregate,,default_source
bba,crm_leadSourceExpr_aggregate,,inhouse social media
bba,crm_leadSourceExpr_aggregate,,facebook
bba,crm_leadSourceExpr_aggregate,,website
bba,crm_leadSourceExpr_aggregate,,referral
bba,crm_leadSourceExpr_aggregate,,offline
bba,crm_leadSourceExpr_aggregate,,direct
bba,crm_leadSourceExpr_aggregate,,organic
bba,crm_leadSourceExpr_aggregate,,letsupgrade
bba,crm_leadSourceExpr_aggregate,,shiksha
bba,crm_leadSourceExpr_aggregate,,agents
bba,crm_leadSourceExpr_aggregate,,ig
bba,crm_leadSourceExpr_aggregate,,careers360
bba,crm_leadSourceExpr_aggregate,,google
bba,crm_leadSourceExpr_aggregate,,chat
bba,crm_leadSourceExpr_aggregate,,chatgpt.com#cuet-ug-previous-year-question-papers-year-wise-pdf-access-plan
bba,crm_leadSourceExpr_aggregate,,btl
bba,crm_leadSourceExpr_aggregate,,chatgpt.com
bba,crm_leadSourceExpr_aggregate,,walk-in
bba,webhook_leadSourceExpr_aggregate,,website
bba,webhook_leadSourceExpr_aggregate,,facebook
bba,webhook_leadSourceExpr_aggregate,,direct
bba,webhook_leadSourceExpr_aggregate,,shiksha
bba,webhook_leadSourceExpr_aggregate,,agents
bba,webhook_leadSourceExpr_aggregate,,organic
bba,webhook_leadSourceExpr_aggregate,,referral
bba,webhook_leadSourceExpr_aggregate,,offline
bba,webhook_leadSourceExpr_aggregate,,letsupgrade
bba,webhook_leadSourceExpr_aggregate,,ig
bba,webhook_leadSourceExpr_aggregate,,chat
bba,webhook_leadSourceExpr_aggregate,,careers360
bba,webhook_leadSourceExpr_aggregate,,google
bba,webhook_leadSourceExpr_aggregate,,btl
bba,webhook_leadSourceExpr_aggregate,,chatgpt.com#cuet-ug-previous-year-question-papers-year-wise-pdf-access-plan
bba,webhook_leadSourceExpr_aggregate,,chatgpt.com
